Rating,Title,Date,Verified Purchase,Body,Helpful Votes
1.0,"BEWARE, I got a freaking FAKE phone.","July 12, 2016",1,"I bought this phone from Amazon.com LLC (no some marketplace store).  I payed $680..AND, When I opened the box the phone looked cheap and fake, but when I opened the battery box, I realized that I GOT A FAKE PHONE..The box seemed legit, but seriously the phone only a shell and inside only had a piece of metal to give it some weight..Amazon is going to do a replacement but how can this possibly happen?.Unbelievable!  A F@#$@#ing FAKE phone.",263
5.0,Best Phone currently on the Market - Includes International Version Details,"March 30, 2016",1,"I bought the Samsung Galaxy S7 Edge G935F in Black from this product page a week ago...A lot of people have asked questions about this particular international version so I'll answer some of those first. For starters, the one I got was the english edition for the Saudi Arabia market (see attached photos, the guides came in english and arabic). From what I can tell, the phone is the same as any other international edition but with different preinstalled apps. Mine came with a SA region specific app ""Shaid"" (seems to be a YouTube-esque app in arabic) that I uninstalled and WhatsApp. Other than that the only remaining bloatware was stock Samsung apps (no carrier apps, thank god), the only other thing I noticed that may be region specific is the S Planner app has a ""Hijri dates adjustment"" setting. Lastly this version ships with a non-us wall charger (aside from the regular stock accessories) shown in my review images. Mine also came with an adapter for use within the U.S., I have tried it and can confirm that it works with fast charging...This phone also uses a different chipset (manufactured by Samsung, called Exynos 8890) than the U.S. version. Reviews I read noted that the phone was actually optimized for this chipset w/ better performance and battery life than the U.S. Qualcomm counterpart (Google it). In the U.S. version the Qualcomm Snapdragon 820 chip is used to support Verizon and Sprint customers whereas this version only supports GSM carriers...To preface the review of the actual use of the phone, I have owned the following devices and used them each as a daily driver for at least a months time: Samsung Galaxy S4 GPE, Samsung Galaxy S5, iPhone 4, iPhone 4S, HTC One M8 GPE, iPhone 6, iPhone 6S, Nexus 5, Nexus 5X, Nexus 6P. The Galaxy S7 Edge has been the most delightful experience of the bunch. I won't go into great detail here but the camera is phenomenal and launches faster than any other phone I've owned w/ a double tap of the home button. The camera's auto focus is super fast and I feel like I'm able to get a capture a lot of moments that my previous phones were too slow to shoot. It's also nice to be able to change the quick launch apps on the lock screen, I have the dialer and snapchat as mine...Continuing a theme of high performance this phone is incredibly fast despite powering a QHD resolution screen. Apps are surprisingly quick to load and multitasking is a breeze (I even found some use in the Samsung's split screen feature). The fingerprint scanner is on par with apple devices (and nexus 6p/5x) although because of it's non-circular shape I find that I place my finger the wrong way more often. The battery is the best of any device I've used as a daily driver, I've been able to get through days of heavy usage like today (unplugged from charger at 5:45am, now at 25% at 9:03pm)...The screen is BEAUTIFUL. Not only is it easy to read even in direct sunlight (something I have seen other devices struggle with) but the colors are vibrant and the screen is huge without making the phone too big or bulky. Perfect for watching YouTube videos and browsing instagram...Lastly a few notes if you buy this phone:.- If you're not a fan of the stock Samsung launcher you can get the Google Now launcher from the Play Store, it's the same one used on Nexus devices and feels smoother than Samsung's launcher..- This time around Samsung decided to give you bigger icons which drove me nuts, search for ""Get more on your Galaxy S7, S6 or Note 5 screen with hidden DPI scaling settings"" from Android authority to get a 5th column on the home screen and smaller UI elements..- ""Edge functionality"" is just okay. The feature feels a bit less than polished because of the weak offerings in the Samsung app store - I have it turned off...Edit 4/8/2016: sorry about the quality of the photos of the actual phone - they were shot with the wide angle lens of my GoPro whereas the other images were shot with the S7 Edge...Edit 4/10/2016: added some higher quality images from my new camera...Update 5/9/2016: I've been using the phone as a daily driver for over a month now. I'm still impressed by the overall gfx smoothness, how fast apps load, and camera performance...Update 7/25/2016: still in love with this phone. I'm honestly not sure what would compel me to purchase a new phone at this point.. I also rooted the phone and changed the emojis to the iOS 9 set with the Emoji Switcher app from the play store. No more guessing when messaging my iOS friends =)..A lot of commenters have asked which seller I purchased mine from: Wireless Everything..",578
1.0,I bought the phone in April 2016 and worked perfect until October of that year when it started to ...,"January 26, 2017",1,"I bought the phone in April 2016 and worked perfect until October of that year when it started to restart itself and every time, and VERY HOT. There are days when I just can not use it and many others work fine. I contacted Amazon and they told me that it was out of the 30 day warranty but that I¨ll should go to a Samsun Center for the 1 year warranty. I did it and as I live in Ecuador, South America, I took it to the authorized center and they told me that the problem should be that it has to be update, it but they could not do it because the phone is from Egypt !! And that only in the place of origin it can be done!!.So when they buy a phone notice of which zone it is..Sold by: Wireless Place...Now in March 2017 the  cell phone stopped working. For having been bought on Amazon it  had no Samsung warranty and as the damage occurred after the first 3 months, Amazon also did not take responsibility. I lost the $ 750 that it cost me before a year of use..I will never bought a mobile phone in Amazon again..",103
1.0,Fine Print Fiasco,"August 19, 2016",1,"I purchased this phone for the expressed purpose of developing VR projects for Gear VR and Google Cardboard. I never expected or intended to use the phone features of the device. So I never added a SIM card much less carried it around or away from my office. After a couple of weeks the OS seemed to have crapped out and got itself stuck on some green terminal looking boot screen. Despite all my attempts to force a restart, perform a system restore, drain/charge the battery or whatever Android lets you do by holding in button X while closing one eye and whistling a happy tune, the phone just won't get past that Bootloader exception screen...I'm not an Android guy and since the purpose of the phone was to test apps, the device was required to be as close to stock as possible to adequately replicate the experience someone might have on their own device. By that I mean I didn't ""root"" the phone or mess with the OS beyond letting Android run all those auto updates it seems to do on a daily basis...I contacted Samsung US support and they said my phone didn't exist as far as they were concerned because it was obviously an international device. They told me to determine the country of origin and arrange service there...How convenient...I looked for some type of local resource that can service phones but it appears all that can be done are screen or battery replacements. Anything heavier has to go to the manufacturer...in Spain...or Antartica...or the Moon...I contacted the Amazon Marketplace vendor (Mobiles International LLC) that I purchased the phone from and they we nice enough in their correspondence and said:..""Unfortunately Samsung does not provide warranty service on international unlocked phones. If you sent it to us in Miami, we can get a quote from a Samsung authorized service center to get the phone repaired. It looks like a software issue and should be fixable.""..I FedEx'd them the phone and waited and waited. After two weeks or so I sent them an email wondering if there was any update...""At this time we have not received a quote unfortunately, the Samsung repair center here cannot repair your device because it is not Latin. We have one other option that we are trying. We will contact you as soon as we get a response.""..And waited and waited...till about a month and half had passed and got this:..""We received the unit back from Samsung this week. They returned the unit saying the warranty was void. We have shipped back to your address yesterday.""..Huh? Is Samsung saying that I dropped it in a toilet? Or that I used my considerable phone hacking skills to circumvent their awesome software and install my own custom OS? No idea...So the lesson being, read the fine print. International unlocked phones may or may NOT come with a warranty. And even if you work yourself past that little detail and decide to roll the dice...if something goes wrong with your device there appears to be no recourse to have it repaired...Even if you expect to pay for said repair because the assumption being that a repair would cost less than the cost of a new phone there doesn't seem to be any reasonable way to facilitate getting it fixed. Waiting weeks and weeks to get some vague note about the warranty being void is hardly a workable solution..",369
1.0,"Be aware, scam","April 13, 2016",1,This phone is a mess. I used to love the first months but now I don't have any signal( I tried 3 conpanies already) and is heaing up and freezing and starting the phone. Also my fingerprins don't work. I can't believe amazon is selling fake phones or damaged phones,20
1.0,Never Again...,"January 12, 2017",1,Do not trust this provider. I payed for a brand new S7 Edge and I ended up recieving a S6 Edge along with a charger that looks like it's been through a war in some third world country,24
3.0,Screen FLICKERING,"December 11, 2016",1,Im a die hard galaxy fan but im not made at the phone its self but its hardware 4 months after i got this phone i got this screen flickering glitch. And a week later the screen dosnt work i love the phone but my parents arent getting me a galacy anytime soon,7
4.0,What are my thoughts of this phone now that I have owned it for three months?,"January 7, 2017",1,"This review is not about the performance of the phone itself, which you can check online with many reputable phone reviewers. This review is about my experience in buying an international version through this seller as opposed to through a carrier as most mobile phone consumers do in the US. Now that I have a chance to use it for close to three months, I can say that it is safe to buy this phone as I had doubt before buying it. It is an international version sold in Asian countries and works as advertised. I love it because it supports dual SIMs and is in gold color, both of which are not available in the US market where I live. The phone works just like any new Samsung Galaxy phone thus far and I am impressed with Samsung's quality. Just so you know, I had the Note 7 prior to this phone and no phone can beat the Note 7, so it was a shame that it was recalled...Here is the summary of my review for this international version of the Galaxy S7 Edge:.Pros:.- Same quality as the US versions.- Unlocked (can be used with any GSM carriers).- Dual SIMs support (or 1 SIM 1 micro flash memory).- Much cheaper then its US counterparts..Cons:.- No warranty (this is a gamble you would have to take). Samsung US will not help you if you ran into issues.- The seal of the box was broken, but nothing seems to have been missing. Not sure why that is.- The charger's plug is not compatible with the US outlets, you will need to get an adapter. I thought his version uses the the US style but I was wrong.....",2
1.0,"Be Aware, its beautiful while last but no warranty, Samsung or Mobiles International (seller) dont take responsibility from sale","June 20, 2017",1,"After 9 months cellphone broke, I am very meticulous and careful about the use and care of electronics, I got this cellphone brand new ($650.00), one day completely stop working, screen gets light up in intense white until consumes all battery, gets really hot during that. I am unable to make it work or reset in any way. I have lost all my media content, Apps, and contacts. I email Seller “Mobiles International”, their answer was "" am sorry to inform you that your phone is almost 9 months out of our 30 day replacement period and it was not sold with any manufacturer warranty. Please take your phone to a local cellular repair center for testing”. On the other hand Samsung USA is not responsible for guarantee that phone, suggest take it for repair and pay out of pocket. I email and escalate the situation direct to their absolute help center at with no any success, as Samsung is not responsible even when they can see phone was made by them. Sad that no one seems to care about to help with the issue, but at moment of purchase you get so much hype about how wonderful the product and warranty is, in this case I enjoy this phone for $2.40 per day. I own Apple products and when you have any trouble with them even without buying any extra warranty they replace any product that has malfunction, I will switch all my products there.",2
1.0,Don't expect warranty from this seller,"June 15, 2017",1,"Nice product until you need warranty from this seller. After 11 months my phone shows black horizontal lines on the screen. I tried service with Samsung USA and I was told my IMEI doesn't have support from them and advise me to contact the seller. Seller tells me: ""You can send it to Samsung international 1 year limited warranty repair, to find out where to send the phone to, you can find the country origin from the phone, or the phone box, and then check the warranty information from Samsung official sites"". This is an excelent support since in the back of the phone only shows: SM-G935F SAMSUNG.YATELEY, GU46 6GG.UK. DESIGNED &amp; ENGINEERED by Samsung Manufactured in Vietnam. Should I sent it to Vietnam?!",3
